date,close
2025-01-02,181.4
2025-01-03,181.19
2025-01-06,182.98
2025-01-07,187.03
2025-01-08,186.56
2025-01-09,186.1
2025-01-10,190.36
2025-01-13,192.56
2025-01-14,191.45
2025-01-15,193.06
2025-01-16,191.96
2025-01-17,190.86
2025-01-20,191.66
2025-01-21,186.68
2025-01-22,182.32
2025-01-23,181.03
2025-01-24,178.61
2025-01-27,179.54
2025-01-28,177.4
2025-01-29,174.03
2025-01-30,177.74
2025-01-31,177.32
2025-02-03,177.63
2025-02-04,174.23
2025-02-05,173.04
2025-02-06,173.45
2025-02-07,170.79
2025-02-10,171.83
2025-02-11,170.52
2025-02-12,169.96
