date,close
2025-01-02,148.75
2025-01-03,148.3
2025-01-06,145.39
2025-01-07,142.3
2025-01-08,144.43
2025-01-09,148.0
2025-01-10,147.85
2025-01-13,150.56
2025-01-14,151.59
2025-01-15,149.87
2025-01-16,150.89
2025-01-17,155.12
2025-01-20,155.06
2025-01-21,159.48
2025-01-22,152.0
2025-01-23,154.3
2025-01-24,154.59
2025-01-27,153.8
2025-01-28,154.1
2025-01-29,148.63
2025-01-30,148.09
2025-01-31,149.09
2025-02-03,153.1
2025-02-04,151.72
2025-02-05,149.55
2025-02-06,148.25
2025-02-07,150.74
2025-02-10,151.67
2025-02-11,150.27
2025-02-12,151.71
