date,close
2025-01-02,377.45
2025-01-03,386.02
2025-01-06,386.16
2025-01-07,381.45
2025-01-08,385.4
2025-01-09,379.95
2025-01-10,381.09
2025-01-13,372.32
2025-01-14,366.57
2025-01-15,367.62
2025-01-16,371.06
2025-01-17,372.01
2025-01-20,371.68
2025-01-21,370.52
2025-01-22,364.14
2025-01-23,361.17
2025-01-24,359.36
2025-01-27,364.09
2025-01-28,365.78
2025-01-29,358.22
2025-01-30,359.79
2025-01-31,358.31
2025-02-03,355.58
2025-02-04,358.37
2025-02-05,362.98
2025-02-06,367.22
2025-02-07,363.7
2025-02-10,362.54
2025-02-11,364.16
2025-02-12,368.6
